Kinase Uniprot ID	Kinase Name	Kinase Group	Kinase Family	Mean Specificity Score	Mean Significance Score	Mean Final Score	Median Final score	Mean Kinase Statistic	Median Kinase Statistic	SD Kinase Statitistic	Mean peptide set size
P04626	HER2	TK	EGFR	1.07545846538511	0.157981494414864	1.23343995979997	1.23062267392386	0.159609328670182	0.164439996794027	0.0198783036445542	39.2222222222222
P08922	Ros	TK	Sev	0.801778304227948	0.267732902167302	1.06951120639525	1.06951848175666	0.221854177610068	0.224488811514339	0.00526926780854291	5.25
P07947	Yes	TK	Src	0.821697935017893	0.145025669259266	0.966723604277159	1.06360691163548	0.16238290812832	0.170134365383886	0.0313744636884617	26.6666666666667
P08069	IGF1R	TK	InsR	0.86226013302677	0.142188505823184	1.00444863884995	0.970583752913115	0.168433511164032	0.178346981804041	0.0452674830247919	13.5555555555556
Q15303	HER4	TK	EGFR	0.67992005760748	0.159570624404096	0.839490682011576	0.909812512424579	0.147550134425857	0.142119095596877	0.0234335625303273	37.4444444444444
Q9H3Y6	Srm	TK	Src	0.679141418827849	0.1497757912617	0.828917210089548	0.86971770649402	0.143450809122954	0.146693837982678	0.00739408779001648	38.8888888888889
P14616	IRR	TK	InsR	0.598543302263992	0.255027936577222	0.853571238841214	0.811055641348195	0.199963616874255	0.199434977855744	0.02170484201057	4.83333333333333
P54753	EphB3	TK	Eph	0.568636235841013	0.221848749616356	0.790484985457369	0.790484985457369	-0.217784431604545	-0.217784431604545	NA	3
P08631	HCK	TK	Src	0.519415175301304	0.121640849031832	0.641056024333136	0.784478757419331	0.138822363649956	0.152003437033928	0.0232418076695289	24.2222222222222
P29320	EphA3	TK	Eph	0.560739102249397	0.222573782813973	0.783312885063369	0.783312885063369	-0.217784431604545	-0.217784431604545	0	3
P29323	EphB2	TK	Eph	0.560739102249397	0.222573782813973	0.783312885063369	0.783312885063369	-0.217784431604545	-0.217784431604545	0	3
P07332	Fes	TK	Fer	0.630135134968612	0.171900678104524	0.802035813073137	0.7803735656045	0.157063620158813	0.165639352298316	0.0361359320092524	13.3333333333333
P42685	FRK	TK	Src	0.589652649598472	0.126492765851288	0.71614541544976	0.777013154193168	0.13130662381675	0.137931806132236	0.0152582906804155	45
P21860	HER3	TK	EGFR	0.589627684576842	0.119896580529926	0.709524265106769	0.7588521375883	0.132201438063267	0.134852169519327	0.00773217059240434	53.2222222222222
P04629	TRKA	TK	Trk	0.624530105100745	0.141808587421824	0.766338692522569	0.757975660031671	0.151583344539876	0.15807609529628	0.0227203941914566	17.7777777777778
H0Y8A4	RYK	TK	Ryk	0.583197290877382	0.146549822032043	0.729747112909425	0.755366681120446	0.19510992747999	0.188519113556636	0.0280889085191911	5.22222222222222
O95382	MEKK6/MAP3K6	STE	STE11	0.549686697509542	0.181832612340573	0.731519309850115	0.730673889289763	0.197729896585363	0.197729896585363	0	4
Q99683	ASK/MAP3K5	STE	STE11	0.549686697509542	0.181832612340573	0.731519309850115	0.730673889289763	0.197729896585363	0.197729896585363	0	4
Q13882	Brk	TK	Src	0.622391483913312	0.133203662914391	0.755595146827702	0.664863174628375	0.128698040166134	0.130957727625498	0.00668666656983565	75.5555555555556
P00533	EGFR	TK	EGFR	0.531118543568419	0.138184420250556	0.669302963818975	0.64221756376858	0.130803157461997	0.126986560318117	0.0128723475144503	54.5555555555556
P54760	EphB4	TK	Eph	0.388150286784558	0.23621317193088	0.624363458715438	0.635366468397804	0.170630702889225	0.170630702889225	0	3
Q06418	Tyro3/Sky	TK	Axl	0.570077957269383	0.140448569336811	0.710526526606194	0.62057119275829	0.133994804929122	0.129005309891023	0.0145736172891286	50.1111111111111
Q08881	ITK	TK	Tec	0.405802556431507	0.130110214538238	0.535912770969745	0.567389831602373	0.122724160020292	0.126554374228818	0.0112534609290492	42.1111111111111
P16591	Fer	TK	Fer	0.426804751331517	0.169184261293335	0.595989012624852	0.535808629359	0.137141960181716	0.136826784127539	0.0350500123405186	9.55555555555556
P51451	BLK	TK	Src	0.483302551595801	0.106399125327822	0.589701676923623	0.532575417056779	0.125869802075555	0.132059367710982	0.0270552986366823	22.6666666666667
Q06187	BTK	TK	Tec	0.315779020299206	0.142017391785437	0.457796412084643	0.529589509024069	0.113607778266073	0.124062102089381	0.0297247125813325	21
Q14289	FAK2	TK	Fak	0.295497658357803	0.113285980720401	0.408783639078203	0.503114613492447	0.11212880554832	0.117697663712637	0.0284536674182401	36.2222222222222
P06239	Lck	TK	Src	0.372569156300094	0.10754920301561	0.480118359315705	0.470415667797009	0.124086149866644	0.123009709615632	0.00968652751401545	27.4444444444444
P42680	TEC	TK	Tec	0.344201958589212	0.117801378302283	0.462003336891496	0.450403362366745	0.118077952154897	0.115318521768225	0.0139676127275528	39.4444444444444
P43403	ZAP70	TK	Syk	0.348471752146781	0.110809982743931	0.459281734890712	0.442858673837888	0.116686772469371	0.116994763337252	0.0060519944143749	68
P29376	LTK	TK	Alk	0.280729958474938	0.0851496616138158	0.365879620088754	0.407755745175698	0.110353840247362	0.117605037706101	0.01340072991322	21.75
