Kinase Uniprot ID	Kinase Name	Mean Specificity Score	Mean Significance Score	Mean Final Score	Median Final score	Mean Kinase Statistic	Median Kinase Statistic	SD Kinase Statitistic	Mean peptide set size
P28482	ERK2	2.32672022452111	2.1603508199869	4.48707104450801	4.69897000433602	-0.949608839329222	-0.945266421736202	0.0165432781285059	10.4444444444444
P27361	ERK1	2.249056890706	2.1603508199869	4.40940771069289	4.49485002168009	-0.924972350680362	-0.937864888630366	0.0367885436063753	10.7777777777778
Q13164	ERK5	2.33190578652616	2.21162935663733	4.54353514316349	4.4692737604564	-1.01308586614372	-1.00613596853775	0.0572888270656971	6.5
P24941	CDK2	2.35312500416551	1.89699506772114	4.25012007188665	4.22184874961636	-0.941686139486344	-0.916455013399586	0.0412929807376061	9.77777777777778
P45983	JNK1	1.88873036070271	1.98209693371743	3.87082729442014	3.96657624451305	-0.844317109606248	-0.849487573251548	0.0108015604320571	15.6666666666667
Q8NI60	ADCK3	1.92589188860837	2.03570985445147	3.96160174305984	3.95078197732982	-0.927277695807921	-0.928668661838692	0.0109995449076279	8.77777777777778
P53779	JNK3	1.83904613499802	1.98209693371743	3.82114306871545	3.80687540164554	-0.842482508347564	-0.849487573251548	0.011208151086216	15.4444444444444
P50750	CDK9	1.43312645320665	2.08777165178963	3.52089810499629	3.65757731917779	-0.954541747326991	-0.978900805222932	0.0365385868439114	4.66666666666667
P06493	CDC2/CDK1	1.84046710800285	1.90354816327218	3.74401527127503	3.3767507096021	-0.90236197045971	-0.905434890834283	0.0255129269829973	9.77777777777778
Q16644	MAPKAPK3	1.42928731960773	1.98322959091393	3.41251691052166	3.31875876262441	-0.777661447418158	-0.767254465008364	0.0258452762965122	32.3333333333333
Q00535	CDK5	1.29654385538825	1.85548157314203	3.15202542853029	3.17263072694618	-0.95387830667134	-0.95387830667134	0	4
Q16539	MAPK14	1.26174602791865	1.90096706985901	3.16271309777767	3.15242734085789	-0.857967960646925	-0.850232900136438	0.0279763607778197	9.33333333333333
P49137	MAPKAPK2	1.20550244162846	1.92710181554505	3.13260425717351	3.14266750356873	-0.769073170667725	-0.776455932670669	0.0156429294322475	28.6666666666667
O75582	MSK1	0.977641386962281	2.1603508199869	3.13799220694918	3.06348625752111	-0.830896950851592	-0.830896950851592	0	8
Q13153	PAK1	1.12589503284009	1.93476707457607	3.06066210741615	3.0515870342214	-0.877113584697639	-0.877113584697639	0	6
P53778	p38[gamma]	1.31720735645155	2.0454970167293	3.36270437318086	3.04432529900839	-0.89302343081026	-0.907435751270122	0.0506206534690331	5.125
P45984	JNK2	1.17855503798366	1.85548157314203	3.03403661112569	3.04000516167158	-0.829285163002324	-0.817204137067273	0.0214043344067284	11.8888888888889
