Kinase,Z,method,AvgZ
PKCH,2.91,710317218>0.15,3.023888888888889
PKN,2.74,710317218>0.15,2.2983333333333333
PAKB,2.54,710317218>0.15,2.4669444444444446
PLK,-2.26,710317218>0.15,-1.6352777777777776
MLCK,2.09,710317218>0.15,2.065
ERK,2.03,710317218>0.15,1.97
BRSK,1.93,710317218>0.15,1.6822222222222223
NMO,-1.9,710317218>0.15,-1.696388888888889
PIM,1.85,710317218>0.15,1.580277777777778
WNK,1.81,710317218>0.15,1.2741666666666667
CK1,-1.81,710317218>0.15,-1.6444444444444444
STE7,-1.79,710317218>0.15,-1.7891666666666666
CK2,-1.56,710317218>0.15,-1.4219444444444445
IKK,-1.56,710317218>0.15,-1.3611111111111112
RAF,1.51,710317218>0.15,1.0069444444444444
RIPK,-1.5,710317218>0.15,-1.3375
NEK,-1.46,710317218>0.15,-0.9366666666666666
RAD53,1.32,710317218>0.15,1.3758333333333332
CAMK2,-1.12,710317218>0.15,-1.073611111111111
ATM,-1.1,710317218>0.15,-0.9952777777777777
PKD,-1.07,710317218>0.15,-1.2138888888888888
VRK1,0.98,710317218>0.15,0.9430555555555555
HAL,0.94,710317218>0.15,1.0833333333333333
STE11,-0.94,710317218>0.15,-0.8961111111111112
FRAY,0.93,710317218>0.15,0.7977777777777778
COT,0.93,710317218>0.15,0.5588888888888889
BARK2,-0.93,710317218>0.15,-0.8455555555555555
MAPKAPK,0.92,710317218>0.15,0.9133333333333333
PDK1,0.91,710317218>0.15,0.9255555555555556
PKA,-0.9,710317218>0.15,-0.7761111111111111
DAPK,0.87,710317218>0.15,1.0013888888888889
MTOR,0.81,710317218>0.15,0.2897222222222222
GSK,0.79,710317218>0.15,0.5805555555555555
NUAK,-0.77,710317218>0.15,-0.6947222222222222
NAK,-0.77,710317218>0.15,-0.6972222222222222
TTK,-0.76,710317218>0.15,-0.6944444444444444
TLK,-0.75,710317218>0.15,-0.6891666666666667
MARK,0.73,710317218>0.15,0.6911111111111111
PKG,-0.67,710317218>0.15,-0.5141666666666667
AMPK,-0.67,710317218>0.15,-0.4583333333333333
SGK,0.63,710317218>0.15,0.4463888888888889
PKCD,-0.6,710317218>0.15,-0.4691666666666667
CHK1,-0.59,710317218>0.15,-0.059444444444444494
ATR,-0.59,710317218>0.15,-0.6194444444444445
AKT,0.58,710317218>0.15,0.3422222222222222
MLK,-0.58,710317218>0.15,-0.010000000000000035
PASK,-0.57,710317218>0.15,-0.4836111111111111
PEK,-0.57,710317218>0.15,-0.1866666666666667
ULK,-0.54,710317218>0.15,-0.4886111111111111
CLK,-0.54,710317218>0.15,-0.4902777777777778
TAO,-0.53,710317218>0.15,-0.49083333333333334
CAMKK,-0.53,710317218>0.15,-0.4897222222222222
